TimeStamp,Station.Number,Temperature
2000-08,32,20.96230769
2000-08,34,20.81142857
2000-08,36,20.89
2000-08,649,21.49090909
2000-08,657,21.72
2000-09,2,19.91363636
2000-09,3,19.37583333
2000-09,4,19.35777778
2000-09,8,18.570625
2000-09,9,18.47037037
2000-09,10,18.40473684
2000-09,11,18.21235294
2000-09,12,18.0475
2000-09,13,17.70888889
2000-09,14,17.34076923
2000-09,15,17.01826087
2000-09,16,16.3575
2000-09,20,15.7104
2000-09,21,17.00235294
2000-09,22,16.82111111
2000-09,24,17.872
2000-09,25,18.465
2000-09,27,18.98166667
2000-09,29,19.42928571
2000-09,30,19.48769231
2000-09,32,20.057
2000-09,34,20.09714286
2000-09,36,20.17285714
2000-09,649,19.24363636
2000-09,657,18.928
2000-10,2,18.217
2000-10,3,18.05636364
2000-10,4,17.96117647
2000-10,8,17.99933333
2000-10,9,17.97181818
2000-10,10,17.86
2000-10,11,17.85052632
2000-10,12,17.72333333
2000-10,13,17.47545455
2000-10,14,17.36625
2000-10,15,17.208
2000-10,16,16.52571429
2000-10,17,16.73727273
2000-10,18,16.25931818
2000-10,20,16.79
2000-10,21,16.88882353
2000-10,22,16.90277778
2000-10,24,17.75181818
2000-10,25,17.88
2000-10,27,18.14
2000-10,29,18.28466667
2000-10,30,18.37928571
2000-10,32,18.24923077
2000-10,34,18.01125
2000-10,36,17.80571429
2000-10,649,18.36333333
2000-10,657,18.33909091
2000-11,2,14.80636364
2000-11,3,14.91818182
2000-11,4,15.03125
2000-11,8,14.7575
2000-11,9,14.66878788
2000-11,10,14.57722222
2000-11,11,14.50866667
2000-11,12,14.65555556
2000-11,13,14.47545455
2000-11,14,14.346
2000-11,15,14.20652174
2000-11,16,13.93769231
2000-11,17,13.68214286
2000-11,18,13.33447368
2000-11,20,13.54166667
2000-11,21,13.67
2000-11,22,13.76157895
2000-11,24,14.62818182
2000-11,25,15.07555556
2000-11,27,14.92076923
2000-11,29,14.816
2000-11,30,14.76076923
2000-11,32,14.6275
2000-11,34,14.07166667
2000-11,36,14.345
2000-11,649,14.27545455
2000-11,657,13.739
2000-12,2,11.01727273
2000-12,3,10.98692308
2000-12,4,11.03647059
2000-12,5,11.09727273
2000-12,6,11.14416667
2000-12,7,11.263125
2000-12,8,11.27533333
2000-12,9,11.25625
2000-12,10,11.27842105
2000-12,11,11.3975
2000-12,12,11.46444444
2000-12,13,11.45272727
2000-12,14,11.491875
2000-12,15,11.50791667
2000-12,16,11.485
2000-12,17,11.43285714
2000-12,18,11.40052632
2000-12,21,11.59470588
2000-12,22,11.66833333
2000-12,23,11.75071429
2000-12,24,11.973
2000-12,25,12.14666667
2000-12,26,12.14181818
